identifier,uploadLimit,authorizedFormOfName,contactPerson,streetAddress,telephone,email,fax,website,geoculturalContext,internalStructures,collectingPolicies,holdings,findingAids,openingTimes,accessConditions,disabledAccess,researchServices,reproductionServices,publicFacilities,maintenanceNote,descInstitutionIdentifier,descRevisionHistory,descSources,culture
daa/357,0,Melbourne Grammar School,Archivist,"Domain Road, South Yarra 3141

Postal address:
As above",(03) 9868-7100,,(03) 9868-7177,,,Officer in charge: Archivist,Material illustrating history of school and achievements of old boys.,Quantity: 40m (100% in-house).,,Open by appointment only; closed in school holidays. Reference assistance available by mail and telephone. Copying services for books and journals available.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/528,0,Melbourne High School Heritage Society Archive Room,Glen Turnbull,"Forrest Hill South Yarra 3141

Postal address:
As above",(03) 9823 7135,glen.turnbull@mhs.vic.edu.au,,,,Officer in charge: Glen Turnbull (archivist) &amp; Dr Alan Gregory (historian),"Melbourne High School commenced as the Melbourne Continuation School in Spring Street Melbourne in 1905. It was the first state secondary school in Victoria and was co-educational. It was renamed Melbourne High School in 1910. The boys moved to Forrest Hill, South Yarra in 1927 and the girls eventually moved to Albert Park and became MacRobertson Girls' High School. The collection is mainly post-1927 but does have significant records relating to the 1905-1927 period. The collection does NOT include MacRobertson Girls' High School records.","Full student registers, most student reports, school publications (such as: 'Ours' and 'Unicorn') as well as a large photographic collection. The school archives are mainly in-house but will accept relevant documents, photographs and memorabilia from former students and staff.",,"The Heritage Society Archive Room is located in the school's tower. Open by appointment only, Mondays and Fridays 8.30am to 4.30pm during school terms. Other times by arrangements.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/376,0,Mental Health Library,,,,,,,,Note: This institution has closed. The records are now held by the Public Record Office Victoria.,Psychiatric and psychological issues; history and development.,,,,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/496,0,Mentone Girls' Grammar School Archives,,"11 Mentone Parade, Mentone, Vic, 3194

Postal address:
PO Box 42, Mentone, Vic 3194",(03) 9581-1200,admin@mentoneggs.vic.edu.au,,,,,All items relating to Mentone Girls' Grammar School and its associations and asociates from 1889.,"Class photos from the 1950s. Textiles including blazers, hats, school ties, etc. School magazine Spindrift. School newsletters and other publications. Student records (files). Old Girls' Club correspondence. School council correspondence and minutes. General memorabilia including badges, trophies, etc.

Quantity: 50 shelf metres (100% in-house)

References: Burren, Pauline B., Mentone: The Place for a School 1984.",,"Open by appointment on Fridays between 8.30am – 4.30pm.
General reference assistance available.
A4 and A3 copying services available for paper based items (an assessment of the conservation needs of each item to be copied will be made by the Archivist).
Copies of photographs can be arranged.",All items in the archives are closed until requested. The requested items will then be assessed by the Archivist and a decision made on their accessibility.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/108,0,Meriden,Archivist,"10 Redmyre Road, Strathfield, 2135

Postal address:
GPO Box 78, Strathfield, NSW, 2135",(02) 9752 9444,archives@meriden.nsw.edu.au,(02) 9746-1869,http://www.meriden.nsw.edu.au/enter/index.html,,"Officer in charge: Archivist

Note: Formally known as Meriden School","Meriden Archives reflect the operation of the School as an educational body for the past 108 years. Records primarily consist of Council Minutes, Administrative records, Staff and Student records, School magazines, a photographic collection, plans, uniforms and memorabilia.","School Magazines. Minutes, School Council. Administrative records. Photographs.",,Open by appointment only on Tuesdays and Wednesdays.,"Advance notice of visit essential. Reference assistance available by email, phone and mail. Some research may require the permission of the Principal and the School Council.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/109,0,Merimbula-Imlay Historical Society,Honorary Secretary,"Old School Museum, Main Street, Merimbula 2548

Postal address:
PO Box 280, Merimbula 2548",(02) 6495-9166,,,,,Officer in charge: Curator,,Quantity: 2m (5% in-house),,"Open Tues, Thurs, Sun 2-4:30pm; closed Christmas - New Year period.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/484,0,Methodist Ladies' College Archives,Archivist,"207 Barkers Road, Kew 3101

Postal address:
As above",(03) 9274-6419,college@mlckew.edu.au,(03) 9274-6476,,,Officer in charge: Archivist,"Records relating to the development, history and activities of the College (80%). Old Collegian memorabilia (20%).","School magazines, 1885- Student enrolment records, 1882-. College prospectuses, 1882-. College Council Minutes, 1882-. School memorabilia and photographs, 1882-.",,Open by appointment only. General reference assistance available. Copying services available for most records. Past staff/student research service for a fee.,One week's advance notice of visit required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/283,0,Mid Murraylands Local History Group,Graham Barlow,"Swan Reach Museum, 20 Nildottie Road, Swan Reach 5354

Postal address:
PO Box 34, Swan Reach 5354",(08) 8570-2019,barlowgb@Bigpond.com.au,(08) 8570-2029,,,Officer in charge: Librarian,"Local history of areas surrounding and including Swan Reach (Murbko to Bowhill and Black Hill to Galga) photographs and written material, aboriginal heritage. (20% in-house).","School records, burial records, minutes, local and district photographs, family and local history, books, maps 1880- .",,"Open Wed. 2pm-4pmm Sat 10am-12pm, Sun 2pm-4pm, or by appointment. General reference assistance available. Copying services available A4.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/139,0,Missionarii Sacratissimi Cordis Iesu (MSC) Archives,Archivist,"Sacred Heart Monastery, 1 Roma Avenue, Kensington 2033

Postal address:
As above",(02) 9662-7188,,,,,Officer in charge: Archivist,"Any material connected to the Society of the Missionaries of the Sacred Hearts eg. books, letters, photographs, articles, art works, music, provincial, general, local documents.","MSC Provincial House: Letters 1895- (55m); Photographs, videos 1895- (15m); House, local, Provincial General documents 1895- (18m). MSC Kensington: Amendments 1895- (3m). MSC Houses Worldwide: MSC Books, Periodicals 1895-(151m); MSC Sermons, Retreats 1930- (12m). MSC Bulletins, newsletters, magazines 1895 - (12m). Australian Publishers: Australian history books 1890- (25m). Australian Publishers: Catholic Church in Australia 1895- (30m).

Quantity: 328m (80% in-house)",,"Open by appointment. General reference assistance available. Copying services available for books, journals and original records to A3.",Minimum age 19 years. One month's advance notice of visit desirable. Closed period of 15 years applies to most records. Access to records not normally available for research can be gained after discussion with Archivist.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/170,0,Mitchell and Dixson Libraries Manuscripts Collection,Curator of Manuscripts,"Macquarie Street, Sydney 2000

Postal address:
As above",(02) 9273-1505,pbrunton@slnsw.gov.au,(02) 9273-1267,http://www.sl.nsw.gov.au/collections/manuscripts.cfm,,Officer in charge: Mitchell Librarian,"Current collecting is of personal papers of individuals who are residents of NSW or closely associated with NSW; the archives of private organisations, societies and businesses operating in NSW.","The holdings consist of personal papers and private archives created primarily in New South Wales or relating to New South Wales and its people. They also include significant collections relating to Antarctica. The papers of individuals cover the full spectrum of society. The private archives include those of community organisations, professional and trade associations, political parties, trades unions, small businesses, private schools and churches. An earlier, wider collecting focus has resulted in important holdings relating to other states particularly for their foundation periods and extensive collections relating to the Pacific, especially nineteenth century missionary records. There is also a small collection of European illuminated manuscripts. Excluding the latter, the holdings cover the period from the seventeenth century to the present day.

Quantity: 9,800 m (ACA Australian Archival Statistics, 1998)","Entries in National Library of Australia Guide to Collections of Manuscripts Relating to Australia. Public Library of NSW, The Mitchell Library, Sydney: Historical and Descriptive notes Sydney, Public Library of NSW, 1936 and Supplement: Important Accessions of Manuscripts and Pictures, 1937-April 1961, Sydney, 1961. Public Library of NSW, Catalogue of Manuscripts of Australasia and the Pacific in the Mitchell Library, Sydney: Series A Manuscripts Catalogued between 1963 and 1967 and Series B Manuscripts catalogued between 1963 and 1967. Sydney, Public Library of NSW, 1967 and 1969. M K Beddie (ed), Bibliography of Captain James Cook. Sydney, The Library of NSW, 1970. Reports of Accessions, 1937 - October 1964, were published regularly in Historical Studies: Australia and New Zealand. April 1940 - April 1965. Numerous guides to individual collections have been published. Banks Papers on the Internet: www.slnsw.gov.au/Banks","Open Mon-Fri 9am-9pm, Sat 11am-5pm; closed Sun and selected Public Holidays. General reference assistance and copying services available. Referral to paid researchers is available. Introductory brochure available.",Reader's Ticket provided instantly on production of two forms of identity (photograph and signature required).,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/110,0,"MLC School, Sydney",School Archivist - Mylee Angelo,"Rowley Street, Burwood 2134

Postal address:
PO Box 643, Burwood 2134",(02) 8741-3161,,(02) 9745-3254,http://www.mlcsyd.nsw.edu.au,,Officer in charge: School Archivist - Mylee Angelo,"The Archives will receive, process and actively pursue:1) all records generated within the School, when they become inactive 2) records generated by organisations associated with the School 3) donations relating to the School from Old Girls and others 4) museum type items relevant to the School.","MLC Students/Staff: The Excelsior School magazine 1892-present. Administration office: Admission books, class rolls, exit books. Academic Administration: Student records, examination papers. Administration/Staff/External: Photographic collection 1886- present. Original order collections of former staff and students. Display gallery / museum opened August 2000.

Quantity: 75m (100% in-house).",,"Open Mon, Thu and Fri 8:30am-4.30pm. Other times by prior arrangement. Reference assistance available. Copying services for books, journals and original records to A3. Copies of historic photographs by arrangement.",One week's advance notice of visit required stating reasons for research. Access to restricted records can be gained with Principal's authorisation.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/487,0,Molong Historical Society Inc.,Secretary,"Molong Historical Museum, Cnr Riddell & Gidley Streets, Molong

Postal address:
PO Box 72, Molong NSW 2866",,,,,,Officer in charge: President,Local and family history material for Molong and District areas which is included in the Cabonne council area.,"Local archival material Small local newspaper collection (1920-present, some years missing) Photographs (local area and pioneers) Miscellaneous records (1856-present) Museum items include several interesting historical artifacts and a small fossil and mineral collection",,"Open every Sunday 2-5pm, other times by appointment. General reference assistance on request in person or by mail. Copying services can be arranged for photographs for a fee. Research on local and family history by mail for a fee.",Archival material not on open access. Access can be arraanged by authorisation from the Museum curator.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/358,0,Monash University Archives,"Archives Manager, Jan.Getson@adm.monash.edu.au","Building 3D, Clayton Campus, Wellington Road, Clayton

Postal address:
Records & Archives Services, Monash University 3800",(03) 9905-3674,,(03) 9905-3884,http://www.adm.monash.edu.au/records-archives,,"Officer in charge: University Archivist, Kathryn.Dan@adm.monash.edu.au",The University Archives are in-house and geared to documenting administrative processes and the teaching and research functions of the University. The Archives also accepts private papers from senior staff when appropriate.,"Clayton Campus: University Council agenda papers and minutes, 1958- (8.1m); Professional (Academic) Board minutes, 1960-(5m); Administrative correspondence from the Central Record System, 1961- (296m); Administrative papers from offices of the Vice Chancellor, Deans of Faculties, Faculty Assistant Registrars, Academic Heads of Department, Wardens Office University Union, Monash Association of Students; Private papers of individual academics. Caulfield Campus: Correspondence leading to the establishment of the Caulfield Technical School, 1915-1921; Administrative correspondence, minutes and agenda papers relating to Chisholm Institute of Technology and its predecessors, 1922-1990. Frankston Campus: Records of the former Frankston Teachers' College, c1959- ; Minutes and agenda papers of State College of Victoria (Frankston), 1970-1977.

Quantity: 1,648 m (ASA 1999 Conference, 1998)",,Open Mon-Fri by appointment; closed weekends and official University holidays. General reference assistance available. Copying services available for original records to A3.,1 week's advance notice of visit required including purpose of enquiry and documentation sought.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/111,0,Monte Sant' Angelo Mercy College,jng@nsw.edu.au,"128 Miller Street, North Sydney 2060

Postal address:
PO Box 1064, North Sydney 2059",(02) 9409 6200,,(02) 9956 5925,http://www.monte.nsw.edu.au,,Officer in charge: Archivist Joanne Ng Murphy,"School records, student files, Old Girls information, School memorabilia, photographs and student publications. (95% in-house).",,,Open by appointment. General reference assistance available. Copying services available.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/284,0,"Mount Barker Community Library, Local History Collection",Local History Technician,"Dumas Street, Mount Barker 5251

Postal address:
As above",(08) 8391-7314,,,http://203.38.149.133/library/,,Officer in charge: Local History Technician,To acquire material related to local history within the Mount Barker district boundaries. Genealogical research tools pertaining to district and some State reference materials.,"Courier Newspapers 1880-1950 on microfilm, 1962 onwards in hard copy.",,"General assistance available: Mon 9am-6pm, Tues, Wed, Thurs 9am-8pm, Fri 10am-5pm, Sat 9am-4pm. Local History Technician in attendance: Tues, Wed 9am-3pm, Thurs 9am-5pm.",Individuals do own research or research carried out by Technician for a fee of $10 per half hour.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/285,0,Mount Lofty Districts Historical Society Inc,Archivist,"Coventry Memorial Library, Mount Barker Road, Stirling 5152

Postal address:
As above",,,,,,Officer in charge: Archivist,,,,"General reference assistance available as well as referral to paid researchers. Copying services for books, journals, original records to A3, photographs, newspapers, maps and plans. Audio and video tapes, research notes, slides and some artefacts also available. Introductory brochure available.",The archival collections is housed within the Coventry Memorial Library. Access is subject to the Library rules.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/286,0,"Munno Para Public Library, Local History Collection",Local History Officer,"Warooka Drive, Smithfield 5114

Postal address:
As above",(08) 8254-6184,,(08) 8254-1190,,,Officer in charge: Local History Officer,To develop and maintain a comprehensive local history collection.,"Local History Collection: Published works, pamphlets/leaflets, newspapers, audio and video tapes, photographs, miscellaneous copied material, maps, art works, microforms, artefacts.",,"Open Mon and Fri 10am-6pm, Wed and Thurs 10am-8pm, Sat 9am-12pm; closed Tues and public holidays. General reference assistance available. Copying services available for books, journals, original records to A3, photographs, newspapers, maps and plans. Referral to paid researchers is available. Introductory brochure available.",Advance notice of visit required from family historians.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/431,0,Murdoch University,Records Officer,"Chancellery Murdoch University, South Street, Murdoch 6150

Postal address:
As above",,,,,,Officer in charge: Records Officer,,,,,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/113,0,Murray High School,Librarian,"Corner Kaitlers Road and Kemp Street, Lavington 2641

Postal address:
As above",(02) 6025-4711,,(02) 6025-1357,,,Officer in charge: Librarian,"To foster pupil and staff appreciation of and pride in the School, its history and achievements. To provide a collection of primary source material directly relating to the local community to be used as a teaching resource as an example of social history. Strengthening School-community bonds.",Quantity: 2m (100% in-house).,,"Open Mon-Fri 9am-3:30pm; closed school holidays. Reference assistance available in person and by mail. Copying services available for books, journals, photographs and newspapers.",3 days' advance notice of visit required including details of research.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/492,0,Murwillumbah Museum,,"2 Queensland Road, Murwillumbah 2484

Postal address:
As above",(02) 6672-1865,,,,,,,,,"Open Wed and Fri 11am-4pm, 4th Sun of month 11am-3pm, or by arrangement. Research and family history services available.","Entrance fee $2 adults, $1 children.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/359,0,Museum Victoria,"Manager, Ethnohistoric Material and Manager, Thomson Collection","Carlton Gardens, Carlton, Victoria

Postal address:
GPO Box 666E, Melbourne, 3001",(03) 9669-9002,,(03) 9663-3669,http://www.museum.vic.gov.au/,,"Officer in charge: Manager, Ethnohistoric Material and Manager, Thomson Collection",,,,Open Mon-Fri 9:30am-5:30pm or by appointment; closed public holidays. General reference assistance available.,Access closed until January 2001.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/115,0,Nandewar Historical Society,Honorary Secretary,"71 Queen Street, Barraba 2347

Postal address:
PO Box 153, Barraba 2347",(02) 6782-1212,,,,,Officer in charge: Honorary Secretary,"The Society collects old records, diaries, newspapers, photographs concerning the history of the town and district.",,,Open by appointment. Reference assistance available in person and by mail. Copying services available for photographs and newspapers. Introductory brochure available.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/116,0,Narrabri and District Historical Society,Secretary (Don Douglas),"Corner Barwan and Bowen Streets, Narrabri 2390

Postal address:
As above",02 6792 5100 (secretary),,,,,Officer in charge: Secretary (Don Douglas),,,,"Open Sat 9am-4pm , Wed 2-4pm. Reference assistance Saturday mornings or by mail. Copying services available. All records available from the secretary.",Minimum age 16 years. One week's advance notice of visit required. Access to records not normally available for research can be gained by authorisation from the Secretary.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/259,0,"National Archives of Australia, Adelaide Office","Assistant Director, Access and Communication.","Reading Room: 78 Angas Street, Adelaide 5000

Postal address:
PO Box 6536, Halifax Street, Adelaide SA 5000",(08) 8409-8400,archives@naa.gov.au,(08) 8409-8499,http://www.naa.gov.au,,Officer in charge: Director,"The National Archives of Australia holds a fascinating array of material, one of the most important collections of documentary heritage in the country. The Archives is the official repository for Commonwealth Government records and the personal papers of people with close links to the Commonwealth, such as federal politicians and senior public servants. 

The Archives preserves valuable records created by Commonwealth departments and makes them accessible to present and future generations. Nationally, it stores hundreds of thousands of records, mainly files, but also film and photographs, magnetic tapes, maps and artefacts. The Archives Act 1983 allows access to Commonwealth records generally once they are thirty years old.","The National Archives of Australia holds records covering all facets of Commonwealth Government activity since Federation in 1901, as well as some earlier records for activities that were transferred from the colonies to the Commonwealth Government. 
	
	Notable South Australian holdings include: Post Office and Telegraph records from the Post-Master General's Department; Patent, Trademark and Copyright material; South Australian and Commonwealth railways records; price control records created between 1939 and 1948; and Defence records created by the Long Range Weapons Research Establishment and Defence Science and Technology Organisation at Salisbury and Woomera. Other collections of interest include Boer War attestation papers for the 5th military contingent, army pay files for those who enlisted in South Australia in World War II, internment camp records dating from both World Wars, original plans and drawings of National Estate properties, immigration files and registration cards, and shipping records such as passenger and crew lists and ship registrations.

Quantity: 3,000 m.",,The Reading Room is open Wed-Fri 9am-4:30pm. A refreshment room is also available.,A closed period of 30 years applies to most records. Official research may be carried out by authorised departmental officers. A reader's ticket is issued to all researchers who wish to request material.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/219,0,"National Archives of Australia, Brisbane Office","Reference Officer, Access and Information Services","Reading Room: 16 Corporate Drive, Cannon Hill Qld

Postal address:
PO Box 552, Cannon Hill Qld 4170",(07) 3249 4226,archives@naa.gov.au,(07) 3399-6589,http://www.naa.gov.au,,Officer in charge: Director,"The National Archives of Australia holds a fascinating array of material, one of the most important collections of documentary heritage in the country. The Archives is the official repository for Commonwealth Government records and the personal papers of people with close links to the Commonwealth, such as federal politicians and senior public servants. 

The Archives preserves valuable records created by Commonwealth departments and makes them accessible to present and future generations. Nationally, it stores hundreds of thousands of records, mainly files, but also film and photographs, magnetic tapes, maps and artefacts. The Archives Act 1983 allows access to Commonwealth records generally once they are thirty years old.","The National Archives of Australia holds records covering all facets of Commonwealth Government activity since Federation in 1901, as well as some earlier records for activities that were transferred from the colonies to the Commonwealth Government. 
	
	Records held by the Queensland Office of the National Archives of Australia include defence records, shipping registers and passenger lists, electoral rolls, naturalisation certificates and internee files.

Quantity: 21,000 m.",,"The Reading Room is open Wed-Fri 9:00am-4:30pm and 9am-1pm third Saturday each month. 

Refreshment room provided.",A closed period of 30 years applies to most records. Official research may be carried out by authorised departmental officers. A reader's ticket is issued to all researchers who wish to request material.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/328,0,"National Archives of Australia, Melbourne Office",Reference Services,"Reading Room, Victorian Archives Centre, 99 Shiel St, North Melbourne, 3053

Postal address:
PO Box 8005, Burwood Heights, Vic 3151",03) 9348 5600,archives@naa.gov.au,(03) 9348 5622,http://www.naa.gov.au,,Officer in charge: Director,"The National Archives of Australia holds a fascinating array of material, one of the most important collections of documentary heritage in the country. The Archives is the official repository for Commonwealth Government records and the personal papers of people with close links to the Commonwealth, such as federal politicians and senior public servants.
The Archives preserves valuable records created by Commonwealth departments and makes them accessible to present and future generations. Nationally, it stores hundreds of thousands of records, mainly files, but also film and photographs, magnetic tapes, maps and artefacts. The Archives Act 1983 allows access to Commonwealth records generally once they are thirty years old.","The National Archives of Australia holds records covering all facets of Commonwealth Government activity since Federation in 1901, as well as some earlier records for activities that were transferred from the colonies to the Commonwealth Government. Records held by the Victorian Office of the National Archives of Australia include: records relating to the Boer War and dossiers of the men who served in this conflict; defence correspondence series, in particular those relating to World War I and World War II; Aboriginal Affairs records dating from the 1860s onwards; and records created by the Civil Aviation Authority. The Victorian Office also holds immigration records, internee files from World War II, Customs records and records created by the Allied Works Council.

Quantity: 90,000 m.",,The Reading Room is open Mon-Fri 9am-4:30pm; it is also open the second and last Saturday of each month (except when that weekend includes a public holiday).,A closed period of 30 years applies to most records. Official research may be carried out by authorised departmental officers. A reader's ticket is issued to all researchers who wish to request material.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/3,0,"National Archives of Australia, National Office","National Reference Service, 1300 886 881","Queen Victoria Terrace, Parkes, ACT

Postal address:
PO Box 7425, Canberra Mail Centre, ACT 2610",(02) 6212 3600,archives@naa.gov.au,(02) 6212 3699,http://www.naa.gov.au,,Officer in charge: Director-General,"The National Archives of Australia holds a fascinating array of material, one of the most important collections of documentary heritage in the country. The Archives is the official repository for Commonwealth Government records and the personal papers of people with close links to the Commonwealth, such as federal politicians and senior public servants. 

The Archives preserves valuable records created by Commonwealth departments and makes them accessible to present and future generations. Nationally, it stores hundreds of thousands of records, mainly files, but also film and photographs, magnetic tapes, maps and artefacts. The Archives Act 1983 allows access to Commonwealth records generally once they are thirty years old.","The National Archives of Australia holds records covering all facets of Commonwealth Government activity since Federation in 1901, as well as some earlier records for activities that were transferred from the colonies to the Commonwealth Government. 
	
	In Canberra the Archives holds the records of the Federal Cabinet and the records of major Commonwealth departments like the Prime Minister's Department, the Department of Foreign Affairs and Trade, the Department of Defence and the Department of Immigration. In addition, this office of the National Archives holds the personal dossiers of all those who served in the Australian Army during the First World War.

Quantity: 462,571 m (ACA Australian Archival Statistics, 1998)",,The Reading Room is open Mon-Sat 9am-5pm and Tues 9am-7pm; closed public holidays. General reference assistance is available. Copying services are available for all materials. The Archives galleries in Canberra display treasures from the collection and a program of temporary exhibitions. The galleries are open every day except Christmas Day and Good Friday.,A closed period of 30 years applies to most records. Official research may be carried out by authorised departmental officers. A reader's ticket is issued to all researchers who wish to request material.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/208,0,"National Archives of Australia, Northern Territory Office",Information Services Officer,"Reading Room: Kelsey Crescent, Millner NT

Postal address:
PO Box 24, Nightcliff NT 0810",(08) 8948-4622,archives@naa.gov.au,(08) 8948-0276,http://www.naa.gov.au,,Officer in charge: Director,"The National Archives of Australia holds a fascinating array of material, one of the most important collections of documentary heritage in the country. The Archives is the official repository for Commonwealth Government records and the personal papers of people with close links to the Commonwealth, such as federal politicians and senior public servants. 

The Archives preserves valuable records created by Commonwealth departments and makes them accessible to present and future generations. Nationally, it stores hundreds of thousands of records, mainly files, but also film and photographs, magnetic tapes, maps and artefacts. The Archives Act 1983 allows access to Commonwealth records generally once they are thirty years old.","The National Archives of Australia holds records covering all facets of Commonwealth Government activity since Federation in 1901, as well as some earlier records for activities that were transferred from the colonies to the Commonwealth Government. 
	
	As the Commonwealth administered the Northern Territory until self-government in 1978, the Northern Territory Office of the Archives holds many records relating to NT Administration. Among these are many records relating to Aboriginal and Torres Strait Islander people, and these are of particular value in tracing family linkages. Other records of interest relate to land tenure, health, housing, education and welfare matters.

Quantity: 7,234 m.",,"Appointments should be made to use the Reading Room (Wed-Fri, 9:00am to 4:30pm only). A refreshment room is available.",A closed period of 30 years applies to most records. Official research may be carried out by authorised departmental officers. A reader's ticket is issued to all researchers who wish to request material.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/404,0,"National Archives of Australia, Perth Office",Assistant Director - Public and Reader Services,"Reading Room: 384 Berwick Street, East Victoria Park WA

Postal address:
PO Box 1144, East Victoria Park 6981",(08) 9470-7500,archives@naa.gov.au,(08) 9470-2787,http://www.naa.gov.au,,Officer in charge: Director,"The National Archives of Australia holds a fascinating array of material, one of the most important collections of documentary heritage in the country. The Archives is the official repository for Commonwealth Government records and the personal papers of people with close links to the Commonwealth, such as federal politicians and senior public servants. 

The Archives preserves valuable records created by Commonwealth departments and makes them accessible to present and future generations. Nationally, it stores hundreds of thousands of records, mainly files, but also film and photographs, magnetic tapes, maps and artefacts. The Archives Act 1983 allows access to Commonwealth records generally once they are thirty years old.","The National Archives of Australia holds records covering all facets of Commonwealth Government activity since Federation in 1901, as well as some earlier records for activities that were transferred from the colonies to the Commonwealth Government. 
	
	Records held in the Perth Office of the Archives include: inward and outward passenger lists for Fremantle from 1898; pay cards for veterans of World War I and World War II who enlisted in Western Australia; records concerning the establishment of WA Post Offices, including staff lists; Christmas and Cocos Island administration records; records of internees, aliens and prisoners of war interned in Western Australia; WA Customs records, and meteorological records.

Quantity: 28,000 m.",,The Reading Room is open Wed-Fri 9:00am-4:30pm.,A closed period of 30 years applies to most records. Official research may be carried out by authorised departmental officers. A reader's ticket is issued to all researchers who wish to request material.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/28,0,"National Archives of Australia, Sydney Office",Reference Officer,"120 Miller Road, Chester Hill 2162

Postal address:
Locked Bag 4, Chester Hill NSW 2162",(02) 9645-0110 (reference service) / 9645-0100 (general enquiries),archives@naa.gov.au,(02) 9645-0108,http://www.naa.gov.au,,Officer in charge: Director,"The National Archives of Australia holds a fascinating array of material, one of the most important collections of documentary heritage in the country. The Archives is the official repository for Commonwealth Government records and the personal papers of people with close links to the Commonwealth, such as federal politicians and senior public servants. 

The Archives preserves valuable records created by Commonwealth departments and makes them accessible to present and future generations. Nationally, it stores hundreds of thousands of records, mainly files, but also film and photographs, magnetic tapes, maps and artefacts. The Archives Act 1983 allows access to Commonwealth records generally once they are thirty years old.","The National Archives of Australia holds records covering all facets of Commonwealth Government activity since Federation in 1901, as well as some earlier records for activities that were transferred from the colonies to the Commonwealth Government. 
	
	The National Archives of Australia Sydney Office holds Post Office files dating from 1850; crew and passenger lists (for the Port of Sydney from 1923 and the Port of Newcastle from 1865); and naval ships log books dating from 1855. The earliest document we hold is an 1804 deed of title signed by Governor Philip King approving the purchase of land, on which now stands the GPO Sydney. We also hold a number of records from the Old Government Observatory in Parramatta. The Sydney Office holds significant audiovisual records from the ABC, Film Australia, the Australian Film, Television and Radio School and SBS.

Quantity: 138,300 m.",,The Reading Room is open Wed-Fri 9:00am-4:30pm (extended opening until 5:30pm by prior arrangement only); closed public holidays.,A closed period of 30 years applies to most records. Official research may be carried out by authorised departmental officers. A reader's ticket is issued to all researchers who wish to request material.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
